Id,Type,Name,Description,IsActive,IntValue,StringValue,Latitude,Longitude,ParentId
1,PRG,HNPP,NULL,1,NULL,NULL,NULL,NULL,NULL
2,PRG,ASC,NULL,1,NULL,NULL,NULL,NULL,NULL
3,PRT,FD6,NULL,1,NULL,NULL,NULL,NULL,NULL
4,PRT,FD7,NULL,1,NULL,NULL,NULL,NULL,NULL
5,DNR,SPA,NULL,1,NULL,NULL,NULL,NULL,NULL
6,OPM,"BEP ",NULL,1,NULL,"razia.k@brac.net,sufia.a@brac.net,profulla.b@brac.net,m.muntasir@brac.net,shaila.purvin@brac.net,julker.n@brac.net,mamunur.r@brac.net, camelia.lopa@brac.net,tahsina.rahman@brac.net,wahid.ne@brac.net",NULL,NULL,NULL
8,YER,1st,1st,1,0,NULL,NULL,NULL,NULL
9,YER,2nd,2nd,1,1,NULL,NULL,NULL,NULL
10,YER,3rd,3rd,1,2,NULL,NULL,NULL,NULL
11,YER,4th,4th,1,3,NULL,NULL,NULL,NULL
12,YER,5th,5th,1,4,NULL,NULL,NULL,NULL
13,YER,6th,6th,1,5,NULL,NULL,NULL,NULL
16,DNR,AGFUND,NULL,1,NULL,NULL,NULL,NULL,NULL
18,DNR,Amplify Change,NULL,1,NULL,NULL,NULL,NULL,NULL
19,DNR,BILL & MALINDA Gates Foundation,NULL,1,NULL,NULL,NULL,NULL,NULL
22,DNR,BRAC UK,NULL,1,NULL,NULL,NULL,NULL,NULL
23,DNR,BRAC USA,NULL,1,NULL,NULL,NULL,NULL,NULL
24,DNR,Charity Water USA,NULL,1,NULL,NULL,NULL,NULL,NULL
26,DNR,Concern Worldwide,NULL,1,NULL,NULL,NULL,NULL,NULL
28,DNR,DFID,NULL,1,NULL,NULL,NULL,NULL,NULL
34,DNR,Dubai Cares-UAE,NULL,1,NULL,NULL,NULL,NULL,NULL
35,DNR,"Education Above All, Doha, Quatar",NULL,1,NULL,NULL,NULL,NULL,NULL
36,DNR,EKN,NULL,1,NULL,NULL,NULL,NULL,NULL
37,DNR,ENFANTS DU MONDE,NULL,1,NULL,NULL,NULL,NULL,NULL
38,DNR,European Commission,NULL,1,NULL,NULL,NULL,NULL,NULL
40,DNR,"Fael Khair program, Islamic development Bank",NULL,1,NULL,NULL,NULL,NULL,NULL
42,DNR,GAIN,NULL,1,NULL,NULL,NULL,NULL,NULL
44,DNR,GLOBAL Affairs Canada,NULL,1,NULL,NULL,NULL,NULL,NULL
45,DNR,Grand Challenges Canada,NULL,1,NULL,NULL,NULL,NULL,NULL
46,DNR,"IFPRI,USA",NULL,1,NULL,NULL,NULL,NULL,NULL
47,DNR,MDF Training & Consultacy,NULL,1,NULL,NULL,NULL,NULL,NULL
48,DNR,msh,NULL,1,NULL,NULL,NULL,NULL,NULL
49,DNR,"Nutrition International , Canada",NULL,1,NULL,NULL,NULL,NULL,NULL
50,DNR,PORTICUS ASIA LIMITED,NULL,1,NULL,NULL,NULL,NULL,NULL
51,DNR,"Porticus Asia Limited ,Hongkong",NULL,1,NULL,NULL,NULL,NULL,NULL
52,DNR,"Porticus, Netherlands",NULL,1,NULL,NULL,NULL,NULL,NULL
53,DNR,Royal Danish Embassy,NULL,1,NULL,NULL,NULL,NULL,NULL
54,DNR,Safer World . UK,NULL,1,NULL,NULL,NULL,NULL,NULL
57,DNR,"Stichting Benevolentia, Netherlands",NULL,1,NULL,NULL,NULL,NULL,NULL
58,DNR,Stop TB partnership/UNOPS,NULL,1,NULL,NULL,NULL,NULL,NULL
59,DNR,"The Big Heart Foundation ,UAE",NULL,1,NULL,NULL,NULL,NULL,NULL
61,DNR,UNOPS,NULL,1,NULL,NULL,NULL,NULL,NULL
62,DNR,Women Win,NULL,1,NULL,NULL,NULL,NULL,NULL
65,PRG,AFS,NULL,0,NULL,NULL,NULL,NULL,NULL
66,PRG,BEP,NULL,1,NULL,NULL,NULL,NULL,NULL
67,PRG,BU-IED,NULL,1,NULL,NULL,NULL,NULL,NULL
68,PRG,CEP,NULL,1,NULL,NULL,NULL,NULL,NULL
69,PRG,CCP,NULL,1,NULL,NULL,NULL,NULL,NULL
70,PRG,GJD,NULL,1,NULL,NULL,NULL,NULL,NULL
72,PRG,HP,NULL,1,NULL,NULL,NULL,NULL,NULL
73,PRG,HRLS,NULL,1,NULL,NULL,NULL,NULL,NULL
74,PRG,IDP,NULL,1,NULL,NULL,NULL,NULL,NULL
75,PRG,Migration,NULL,1,NULL,NULL,NULL,NULL,NULL
